Method/Endpoint,HTTP Method,Type,Description,Parameters,Usage,Status,Notes
/api/auth,POST,Authentication,Authenticate with OnlyFans using auth.json credentials,"auth: dict containing {id, cookie, x_bc, user_agent}","curl -X POST http://localhost:5000/api/auth -H 'Content-Type: application/json' -d '{""auth"": {""id"": ""123456"", ""cookie"": ""auth_cookie_value"", ""x_bc"": ""browser_check_token"", ""user_agent"": ""Mozilla/5.0...""}}'",? Working,
/api/health,GET,System,Check API server health status,None,curl http://localhost:5000/api/health,? Working,
/api/docs,GET,Documentation,Get detailed API documentation with examples,None,curl http://localhost:5000/api/docs,? Working,
/api/me,GET,User Info,Get authenticated user's profile information,None (requires authentication),curl http://localhost:5000/api/me,? Working,Returns user stats and info
/api/user/{username},GET,User Info,Get any user's public profile information by username or ID,username: str (can be username or user ID),curl http://localhost:5000/api/user/johndoe,? Working,
/api/user/{username}/posts,GET,Content,Retrieve posts from a specific user's timeline,"username: str, limit: int (1-100, default 50), label: str (default ''), after_date: float (optional)",curl 'http://localhost:5000/api/user/johndoe/posts?limit=20&label=archived',? Fixed,"Changed from offset to label/after_date params, handles PostModel objects"
/api/user/{username}/messages,GET,Messages,Get direct message conversation history with a user,"username: str, limit: int (1-100, default 20), offset_id: int (optional), cutoff_id: int (optional)",curl 'http://localhost:5000/api/user/johndoe/messages?limit=30&offset_id=12345',? Fixed,"Changed offset to offset_id, added media URLs, enhanced properties"
/api/user/{username}/stories,GET,Content,Get active stories from a user's profile,username: str,curl http://localhost:5000/api/user/johndoe/stories,? Working,
/api/user/{username}/highlights,GET,Content,Get story highlights (saved stories) from a user,"username: str, limit: int (1-100, default 100), offset: int (default 0)",curl http://localhost:5000/api/user/johndoe/highlights,? Working,
/api/user/{username}/mass-messages,GET,Messages,Get mass/promotional messages sent by a specific user,"username: str, message_cutoff_id: int (optional)",curl 'http://localhost:5000/api/user/johndoe/mass-messages?message_cutoff_id=12345',? Working,
/api/user/{username}/archived-stories,GET,Content,Get archived stories (only available for authenticated user),"username: str, limit: int (1-100, default 100), offset: int (default 0)",curl 'http://localhost:5000/api/user/myusername/archived-stories?limit=50',? Working,
/api/user/{username}/socials,GET,Social,Get user's linked social media accounts,username: str,curl http://localhost:5000/api/user/johndoe/socials,? Working,
/api/subscriptions,GET,Subscriptions,Get list of all active subscriptions,"limit: int (1-100, default 50), sub_type: str (default 'all'), filter_by: str (default '')",curl 'http://localhost:5000/api/subscriptions?limit=100&sub_type=active',? Fixed,"Removed offset, added sub_type and filter_by params"
/api/messages/all,GET,Messages,Get all messages from all chats at once,"limit_per_chat: int (1-100, default 50), include_purchases: bool (default true)",curl 'http://localhost:5000/api/messages/all?limit_per_chat=100',? NEW,Fetches messages from all chats
/api/messages/all/detailed,GET,Messages,Get all messages with detailed statistics and filtering,"limit_per_chat: int (1-200, default 100), include_purchases: bool (default true), include_tips: bool (default true), only_with_media: bool (default false)",curl 'http://localhost:5000/api/messages/all/detailed?only_with_media=true',? NEW,Advanced version with stats and filtering
/api/chats,GET,Messages,Get all chat conversations with basic info,"limit: int (1-100, default 50), offset: int (default 0)",curl 'http://localhost:5000/api/chats?limit=20&offset=0',? Fixed,Fixed ChatModel attribute access
/api/mass-messages,GET,Messages,Get statistics for all mass messages,"limit: int (1-100, default 50), offset: int (default 0)",curl 'http://localhost:5000/api/mass-messages?limit=50',? Working,
/api/messages/mass-send,POST,Messages,Send a message to all chats at once,"test_mode: bool (default false), exclude_usernames: list[str] (default []); Body: {text: str, media_ids: list[int], price: int, locked_text: bool}","curl -X POST http://localhost:5000/api/messages/mass-send?test_mode=true -H 'Content-Type: application/json' -d '{""text"": ""Hello!"", ""media_ids"": [], ""price"": 0, ""locked_text"": false}'",? NEW,Mass send with test mode
/api/messages/mass-send/filtered,POST,Messages,Send message to filtered chats,"only_subscribed: bool (default false), only_active_chats: bool (default false), days_active: int (default 30), test_mode: bool (default true), exclude_usernames: list[str]; Body: same as above","curl -X POST 'http://localhost:5000/api/messages/mass-send/filtered?only_subscribed=true&test_mode=false' -H 'Content-Type: application/json' -d '{""text"": ""Special offer!"", ""price"": 500}'",? NEW,Advanced filtering options
/api/user/{username}/message,POST,Messages,Send a direct message to a specific user,"username: str; Body: {text: str, media_ids: list[int] (optional)}","curl -X POST http://localhost:5000/api/user/johndoe/message -H 'Content-Type: application/json' -d '{""text"": ""Hello!"", ""media_ids"": []}'",? Working,Image upload not supported
/api/post/{post_id},GET,Content,Get specific post by ID,post_id: int,curl http://localhost:5000/api/post/123456789,? NEW,Fetch single post details
/api/post/{post_id}/like,POST,Interaction,Like a specific post by ID,post_id: int,curl -X POST http://localhost:5000/api/post/123456789/like,? Issues,Updated to favorites endpoint but needs valid post ID
/api/post/{post_id}/like,DELETE,Interaction,Unlike a previously liked post,post_id: int,curl -X DELETE http://localhost:5000/api/post/123456789/like,? Issues,Same as above
/api/user/{user_id}/block,POST,User Management,Block a user by their ID,user_id: int,curl -X POST http://localhost:5000/api/user/987654/block,? Working,
/api/user/{user_id}/block,DELETE,User Management,Unblock a previously blocked user,user_id: int,curl -X DELETE http://localhost:5000/api/user/987654/block,? Working,
/api/transactions,GET,Financial,Get all financial transactions history,None,curl http://localhost:5000/api/transactions,? Working,
/api/paid-content,GET,Financial,Get all purchased premium content,"performer_id: int|str (optional), limit: int (1-100, default 10), offset: int (default 0)",curl 'http://localhost:5000/api/paid-content?performer_id=123456&limit=20',? Working,
/api/vault,GET,Vault,Get media items stored in your private vault,"limit: int (1-100, default 50), offset: int (default 0)",curl 'http://localhost:5000/api/vault?limit=100',? Working,
/api/promotions,GET,Promotions,Get current subscription promotions,None,curl http://localhost:5000/api/promotions,? Working,
